medicamento,substancia
NPT - ZINCO+CUPRICO+MANGANES+CROMICO SOL INJ AMP 2ML ADULTO,SULFATO DE ZINCO HEPTAIDRATADO + SULFATO CUPRICO PENTAIDRATADO + SULFATO DE MANGANES MONOIDRATADO + CLORETO CROMICO HEXAIDRATADO
AMOXICILINA SODICA 500MG CAPS,AMOXICILINA
ROSUVASTATINA 10MG CP,ROSUVASTATINA CALCICA
Indometacina Cápsula 25mg,INDOMETACINA
Iopamiron 370mg - 50ml,IOPAMIDOL
HIDROXIDO ALUMINIO + HIDROXIDO MAGNÉSIO + SIMETICONA SUSP,HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + SIMETICONA
INSULINA INFUSAO CONTINUA (1 UI/ML) - CAD ou EHH,INSULINA REGULAR
Dramin B6 (25 + 5)mg/mL Sol oral  30mL,DIMENIDRINATO + PIRIDOXINA(B6)
TERIZIDONA 250 MG CMP,CICLOSERINA (TERIZIDONA)
Metoclopramida 4 mg/mL Sol oral Fr 10 mL,METOCLOPRAMIDA
Brineura 30mg/mL Sol inj 5mL (2 frascos + solução de lavagem) (Multipack) (Não Padrão),ALFACERLIPONASA
"NUSINERSENA SOLUCAO INJETAVEL 2,4MG/ML 5ML ***®",NUSINERSENA
DILTIAZEM COMPRIMIDOS,DILTIAZEM
DONEPEZILA 5MG CPREV,DONEPEZILA
MONURIL 3G GRAN 1 ENV 8G,FOSFOMICINA
ANFOTERICINA B + TETRACICLINA CR VAGINAL 45G TB,TETRACICLINA + ANFOTERICINA B (TOPICO)
CISATRACURIO SOLUÇÃO CONCENTRADA SG 5%,CISATRACURIO
GLICERINA 2.68G SUPOSITORIO ADULTO,GLICERINA (RETAL)
PROPANOLOL 40 MG,PROPRANOLOL
Novorapid 100ui/ml Frasco 10ml,INSULINA ASPARTE
"Morfina 0,1mg Amp 1mL",SULFATO DE MORFINA
BENICARANLO 40/10 (NP),OLMESARTANA + ANLODIPINO
"SORO FISIOLOGICO 0,9% 1000 ML BSA","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)"
NIMODIPINO 30MG CAPS(MANIPULADO),NiMODipino
PAMIDRONATO DISSODICO 90MG SOL.INJ (onco),PAMIDRONATO (ACIDO PAMIDRONICO)
QT - Mesna 400mg/4mL Amp,MESNA
"Salbutamol 0,5mg/1mL Amp",SALBUTAMOL (ALBUTEROL)
Bramicar 40mg Comprimido ,TELMISARTANA
Complexo B Sol inj 2mL (Não Padrão),VITAMINAS DO COMPLEXO B
ISORSSOBIDA DINITRATO 10MG COMP,ISOSSORBIDA
FLUCONAZOL 150MG CAPS,FLUCONAZOL
NITROGLICERINA 50MG/10ML AMPOLA,NitroGLICERINA
BICARBONATO DE SODIO 100 G PO,BICARBONATO DE SODIO
GLICEROFOSFATO DE SODIO 216MG/ML FRASCO 20ML,GLICEROFOSFATO DE SODIO
SINVASTACOR 20MG 30 CP C,SINVASTATINA
EMLA CREME 5G BNG,LIDOCAINA + PRILOCAINA (TOPICO)
Mercaptopurina 5mg/ml - Fr/100ml,MERCAPTOPURINA
Dormire 50mg ( 5mg/ml) Amp/10ml,MIDAZOLAM
PREDNISOLONA 3MG/ML SUSP ORAL,PrednisoLONA
DEXAMETASONA+NEOMICINA+POLIMIXINA B - 5 ML - COLIRIO,DEXAMETASONA + NEOMICINA + POLIMIXINA (OFTÁLMICO)
AloPURinol 100MG COMPRIMIDO,AloPURinol
Loratamed 1 mg/ml Xarope Frasco 100 ml,LORATADINA
AmioDARONA 100mg Cp.,AMIODARONA
ATENOLOL 50MG 30 CAP SAND GEN,ATENOLOL
CLOR.BROMEXINA XPE AD 120ML MEDL GEN,BROMEXINA
Nitazoxamida 500 mg comprimido Não padrão,NITAZOXANIDA
ISOSSORBIDA MONONITRATO INJETAVEL - 1 ML 10 MG/ML AMP,ISOSSORBIDA
L-Carnitina 100mg/mL Sol oral 30mL (Não Padrão),LEVOCARNITINA
Hidantal 50mg/ml Ampola 5ml,FENITOINA
MISOPROSTOL 25 mcg,Misoprostol
DULoxetina 30mg Cápsula de Liberação Retardada - EMS,Duloxetina
ESTRADIOL 1 mg + NORETISTERONA 2 mg,ESTRADIOL + NORETISTERONA
"MOXIFLOXACINO 0,5% SOL. OFTALMICA 5ML",MOXIFLOXACINO (OFTÁLMICO)
FOLINATO DE CALCIO SOLUCAO INJETAVEL 10MG/ML 30ML®,FOLINATO DE CALCIO (ACIDO FOLINICO)
Arcoxia 60mg Cp rev (Med. Controlado) (Não Padrão),Etoricoxibe
ARMODAFINILA 150 mg,ARMODAFINILA
"LEUPRORRELINA 3,75MG IM QT",LEUPRORRELINA
ACICLOVIR 250MG IV,ACICLOVIR
Jardiance 10mg Cp. Rev.,empagliflozina 
Cerave Creme hidratante 454g (Não Padrão),ACIDO HIALURONICO
Manitol 20% Sol inj 250mL,MANITOL
DECitabina PO LIOFILO INJETAVEL 50MG##,DECitabina
CITARABINA 100MG/ML SOL. INJETAVEL  FA 10ML,CITARABINA
DESOGESTREL 75MCG COMP. REVESTIDO - NP,DESOGESTREL
MECLOZINA 50 mg,MECLOZINA
EPINEFrina 1MG/ML SOL INJ AMP C/1ML EV,ADRENALINA (EPINEFRINA)
"DEXAMETASONA. 10MG/2,5ML (ADULTO)",DEXAMETASONA
PANTOPRAZOL 40MG - FRASCO AMPOLA 10ML,PANTOPRAZOL
"Uso Dom.: FLORINEFE 0,1 MG",FLUDROCORTISONA
Targocid 400 Mg Fr/amp,TEICOPLANINA
"Combodart 0,5mg/0,4mg Cápsula",TANSULOSINA + DUTASTERIDA
Paracetamol 200mg/ml Gotas (1mL = 15gotas) Frasco 15ml,PARACETAMOL  (ACETAMINOFEM)
Cialis 5mg Cp (Não Padrão),TADALAFILA
Diprospan Im Amp/1ml,DIPROPIONATO DE BETAMETASONA + FOSFATO DISSODICO DE BETAMETASONA
PACLitaxel 300mg Fr-Amp,PACLITAXEL
BIMATOPROSTA 0.1MG/ML+BRIMON. 1.5MG/ML+TIMOL. 6.83MG/ML COL.,BIMATOPROSTA +TARTARATO DE BRIMONIDINA + MALEATO DE TIMOLOL
ZYVOX (LINEZOLIDA) FR 600 MG,LINEZOLIDA
ISOSSORBIDA DINITRATO COMPRIMIDO SUBLINGUAL 5MG,ISOSSORBIDA
"Metadona, Cloridrato de 10mg/ml Amp 1ml",Metadona
ATENOLOL COMP C/25MG,ATENOLOL
VIMPAT 10MG/ML SOL ORAL 200ML FR,LACOSAMIDA
ACICLOVIR 200 MG COMPRIMIDO,ACICLOVIR
VITAMINA D3 7000 ui,COLECALCIFEROL (VITAMINA D)
CLOR. DE HIDROXIZINA 25MG COMP,HIDROXIZINA
AZACITIDINA 100MG FAM @,AZACITIDINA
levoTIROXina SODICA 100MCG COMP,LevoTIROXina
LIDOCAINA GEL 2% 30G,LIDOCAINA (TOPICO)
VITAMINA D3 7000UI,COLECALCIFEROL (VITAMINA D)
Alendronato De Sódio 70mg Comprimido - Sandoz,ALENDRONATO SODICO
cafeina 60 mg capsula dura,CAFEINA
IBUPROFENO 600MG VO,IBUPROFENO
DIMORF 10MG/ML-1ML AMP IM/IV-MORFINA,SULFATO DE MORFINA
"Nimodipina 30mg, comprimido (ORAL)",NiMODipino
MC: ACIDO FOLICO 5 ,ACIDO FOLICO (VITAMINA B9)
Sulfato de magnésio 1%/100mL SF (bolsa pronta),SULFATO DE MAGNESIO
SACITUZUMABE GOVITECANA 200MG PO (PESQUISA CLÍNICA),SACITUZUMABE GOVITECANA
BICARBONATO DE SODIO 8.4% 250ML FRASCO,BICARBONATO DE SODIO
Precedex 100 mcg/mL fr amp 2mL ,DEXMEDETOMIDINA
MORFINA 10MG/ML - 1ML SOL INJ*,SULFATO DE MORFINA
"NATIFA PRO 1MG/0,5MG 28 CP REV",ESTRADIOL + NORETISTERONA
Solução de Lugol 5% Fr. 30mL,IODO + IODETO
Enalapril 5mg cp,ENALAPRIL MALEATO
CIPROFLOXACINO 200MG AMPOLA,CIPROFLOXACINO  
Vinorelbina 30mg Cap Gel,TARTARATO DE VINORELBINA
Novalgina (dipirona)  500mg/ml Gotas 20ml,DipiRONA
"CloNIDina Cloridrato 0,150mg Cp.",CLONIDINA
Glicose 50% (HIPERCONCENTRADA) Sol inj 20mL,SOLUCAO DE GLICOSE HIPERTONICA
Adenosina 3mg/mL inj. amp. 2mL,ADENOSINA
FOLINATO DE CALCIO 300MG/30ML SOL. INJETAVEL FA 30ML,FOLINATO DE CALCIO (ACIDO FOLINICO)
Loratadina 10 mg,LORATADINA
Finasterida 5mg Comprimido,FINASTERIDA
OS-CAL 500MG CP,CARBONATO DE CALCIO + COLECALCIFEROL (VITAMINA D)
ACIDO FOLICO COMPRIMIDO 5MG,ACIDO FOLICO (VITAMINA B9)
