,model,max_df,max_features,ngram_range,f1_score,model_size_mb,vectorizer_size_kb,train_minutes,train_cost,predict_seconds_one_sample,predict_cost_one_sample
29,ExtraTreesClassifier,0.5,100,"(1, 3)",0.9206349206349206,418.5364875793457,2.0224609375,0.3570222934087118,0.023270968950356775,0.05712461471557617,6.205705544114113e-05
33,ExtraTreesClassifier,0.5,200,"(1, 3)",0.9428571428571428,367.7185068130493,3.3310546875,0.4170602162679036,0.027184283789496954,0.06642889976501465,7.2164721567697e-05
13,ExtraTreesClassifier,0.5,500,"(2, 3)",0.9513227513227513,308.55451679229736,7.34765625,0.367841641108195,0.023976181787274946,0.06417703628540039,6.971842031041782e-05
37,ExtraTreesClassifier,0.5,300,"(1, 3)",0.9513227513227513,333.53827571868896,4.6982421875,0.38499335845311483,0.025094143015880917,0.048125267028808594,5.2280656578540805e-05
17,ExtraTreesClassifier,0.5,500,"(2, 4)",0.9534391534391534,336.3771858215332,7.384765625,0.41364463170369464,0.026961653539766206,0.0467066764831543,5.073957743816906e-05
21,ExtraTreesClassifier,0.3,500,"(1, 3)",0.9555555555555556,307.2976264953613,7.34765625,0.37597635587056477,0.02450640832536512,0.05817079544067383,6.31935689315531e-05
25,ExtraTreesClassifier,0.7,500,"(1, 3)",0.9566137566137566,309.61212730407715,7.3408203125,0.4012278954188029,0.02615232177005596,0.059058427810668945,6.41578441651e-05
1,ExtraTreesClassifier,0.5,500,"(1, 3)",0.9576719576719577,308.2054500579834,7.3291015625,0.36436513662338255,0.02374958073345999,0.06094527244567871,6.62076089242432e-05
9,ExtraTreesClassifier,0.5,500,"(1, 4)",0.9587301587301588,333.482723236084,7.396484375,0.4436622897783915,0.0289182260057299,0.05610466003417969,6.094903248945872e-05
5,ExtraTreesClassifier,0.5,500,"(1, 2)",0.9608465608465608,334.49127197265625,7.0654296875,0.33195579051971436,0.021637116327724856,0.05692553520202637,6.184078635169401e-05
30,KNeighborsClassifier,0.5,100,"(1, 3)",0.7883597883597884,14.83751392364502,2.0224609375,0.13220329682032267,0.008617105632444687,0.18396520614624023,0.00019984973297238352
18,KNeighborsClassifier,0.5,500,"(2, 4)",0.8338624338624339,30.080432891845703,7.384765625,0.12735761404037477,0.008301260556108357,0.19569802284240723,0.00021259562298529678
10,KNeighborsClassifier,0.5,500,"(1, 4)",0.837037037037037,32.5722541809082,7.396484375,0.14709927241007487,0.009588035996833907,0.1978297233581543,0.00021491138577421507
34,KNeighborsClassifier,0.5,200,"(1, 3)",0.8423280423280424,21.49178695678711,3.3310546875,0.11791661183039347,0.007685889266010192,0.197479248046875,0.00021453064857482912
38,KNeighborsClassifier,0.5,300,"(1, 3)",0.8497354497354498,25.40025806427002,4.6982421875,0.11737015644709269,0.0076502709125002896,0.1975266933441162,0.00021458219054943986
2,KNeighborsClassifier,0.5,500,"(1, 3)",0.873015873015873,29.933669090270996,7.3291015625,0.11553587913513183,0.007530711402741273,0.20666122436523438,0.0002245054451889462
26,KNeighborsClassifier,0.7,500,"(1, 3)",0.8761904761904762,31.635390281677246,7.3408203125,0.11566621859868367,0.007539207022385532,0.20557570457458496,0.0002233261958904399
22,KNeighborsClassifier,0.3,500,"(1, 3)",0.8772486772486773,24.57619285583496,7.34765625,0.1134106715520223,0.0073921888494087595,0.19465112686157227,0.0002114583324801922
14,KNeighborsClassifier,0.5,500,"(2, 3)",0.8804232804232804,27.281119346618652,7.34765625,0.09621269305547078,0.0062712122857856096,0.19981026649475098,0.00021706293945809207
6,KNeighborsClassifier,0.5,500,"(1, 2)",0.8952380952380953,20.97744655609131,7.0654296875,0.08287439743677776,0.005401812618247337,0.18252849578857422,0.00019828896945979862
31,LogisticRegression,0.5,100,"(1, 3)",0.7978835978835979,0.7941646575927734,2.0224609375,3.4278618057568866,0.22343048913352803,0.004321575164794922,4.694722772836686e-06
35,LogisticRegression,0.5,200,"(1, 3)",0.8719576719576719,1.5632743835449219,3.3310546875,3.431716986497243,0.22368177257706398,0.0028007030487060547,3.042530531419648e-06
39,LogisticRegression,0.5,300,"(1, 3)",0.8867724867724868,2.3315439224243164,4.6982421875,3.4428842027982074,0.22440965973873253,0.0030193328857421875,3.280038022465176e-06
19,LogisticRegression,0.5,500,"(2, 4)",0.8888888888888888,3.8679752349853516,7.384765625,4.483074001471201,0.292209976285594,0.0036737918853759766,3.991006466216512e-06
11,LogisticRegression,0.5,500,"(1, 4)",0.8952380952380953,3.868433952331543,7.396484375,3.8432823459307355,0.2505078976601133,0.003960371017456055,4.302330353061358e-06
27,LogisticRegression,0.7,500,"(1, 3)",0.9015873015873016,3.867436408996582,7.3408203125,4.067914716402689,0.26514959655400744,0.0037343502044677734,4.0567937101920445e-06
3,LogisticRegression,0.5,500,"(1, 3)",0.9058201058201059,3.867176055908203,7.3291015625,4.988431211312612,0.3251495213957242,0.004061222076416016,4.4118894247214e-06
15,LogisticRegression,0.5,500,"(2, 3)",0.9132275132275133,3.8666467666625977,7.34765625,3.8065681576728823,0.24811484055763147,0.0039691925048828125,4.311913534270393e-06
7,LogisticRegression,0.5,500,"(1, 2)",0.9153439153439153,3.861626625061035,7.0654296875,3.50109117825826,0.22820363211421782,0.0036814212799072266,3.9992946229378384e-06
23,LogisticRegression,0.3,500,"(1, 3)",0.9164021164021164,3.866443634033203,7.34765625,3.5625700910886127,0.23221087171238775,0.003872394561767578,4.206757545868556e-06
28,RandomForestClassifier,0.5,100,"(1, 3)",0.9174603174603174,253.8613567352295,2.0224609375,0.3896856546401978,0.02539999024416725,0.05847501754760742,6.352405918081602e-05
32,RandomForestClassifier,0.5,200,"(1, 3)",0.9407407407407408,227.30271530151367,3.3310546875,0.4263537049293518,0.027790040040783684,0.04754900932312012,5.165464174118307e-05
36,RandomForestClassifier,0.5,300,"(1, 3)",0.944973544973545,210.556489944458,4.6982421875,0.4403680125872294,0.0287035026575113,0.06752681732177734,7.335743912087547e-05
24,RandomForestClassifier,0.7,500,"(1, 3)",0.9470899470899471,202.1034116744995,7.3408203125,0.49057230552037556,0.03197585445063704,0.05732989311218262,6.228005865792434e-05
20,RandomForestClassifier,0.3,500,"(1, 3)",0.9481481481481482,203.48467826843262,7.34765625,0.43963810205459597,0.028655926565891703,0.05756068229675293,6.253077539874448e-05
0,RandomForestClassifier,0.5,500,"(1, 3)",0.9492063492063492,201.67016887664795,7.3291015625,0.4540820002555847,0.02959739020209253,0.05523562431335449,6.000495963792006e-05
16,RandomForestClassifier,0.5,500,"(2, 4)",0.9492063492063492,204.34866905212402,7.384765625,0.4647007346153259,0.03028952691775342,0.058133840560913086,6.315342317243417e-05
12,RandomForestClassifier,0.5,500,"(2, 3)",0.9502645502645503,198.99137020111084,7.34765625,0.43950118621190387,0.028647002293142015,0.06809878349304199,7.397879187007746e-05
8,RandomForestClassifier,0.5,500,"(1, 4)",0.9513227513227513,205.72528839111328,7.396484375,0.4974245270093282,0.0324224871580457,0.055310726165771484,6.0086546180645626e-05
4,RandomForestClassifier,0.5,500,"(1, 2)",0.9597883597883597,229.68646907806396,7.0654296875,0.39107366402943927,0.025490461690898074,0.05675101280212402,6.165119476669365e-05
