medicamento,llm_response,input_tokens,output_tokens
"Akynzeo (300mg + 0,56mg) Cáp.",Netupitanto + Palonosetrona,123,11
 ACIDO ASCORBICO 1G EFERVESCENTE (VITAMINA C),Ácido Ascórbico,126,6
Optiray 350 Sol inj 100mL (seringa),Ioversol,121,3
ACIDO ACETIL SALICILICO 100MG,Ácido Acetilsalicílico,117,8
Sulfato de Hidroxicloroquina 400 mg comp,Hidroxicloroquina,120,7
"ENTECAVIR 0,5MG COMP",Entecavir,116,4
"Fentanila 0,5 mg/10ml, fr-amp 0.1mg/ml",Fentanila,127,4
RACECADOTRIL 100MG CAPS,Racecadotril,116,4
Zytiga 250mg Cp,Abiraterona,112,4
AZITromicina 500mg - EV,Azitromicina,114,4
"Deslanosideo 0,2mg/mL - 2mL",Deslanosídeo,120,5
BUDESONIDA 100MCG/DOSE,Budesonida,116,4
COMPLEXO VITAMINICO B DRG,Vitaminas do Complexo B,116,7
RIFAMICINA SODICA 10MG/ML 20ML USO TOPICO (RIFOCIN,Rifamicina Sódica,130,7
PANTOPRAZOL 40mg COMP ,Pantoprazol,116,5
LEVOFLOXACINO 500 MG FR 100 ML,Levofloxacino,119,6
"Solução Diálise Peritoneal (Glic1,5% + Ca3,5mEq/L) (Cód1683) 2000mL ",Glicose e Cálcio,141,8
"OCTREOTIDE 0,1MG/ML AMPOLA 1ML",Octreotida,121,4
ACIDO ACETILSALICILICO 100 MG,Ácido Acetilsalicílico,118,8
Aciclovir 250mg inj,Aciclovir,113,4
DICLORIDRATO DE BETAISTINA 16 mg,Betaistina,119,3
Noripurum Ev 100mg (20mg/ml) Ampola 5ml,Ferro Dextrano,122,5
Ondansetrona 2mg/ml amp 2 mL,Ondansetrona,119,6
LAMOTRIGINA 25MG - COMPRIMIDO,Lamotrigina,119,5
PERMANGANATO DE POTASSIO,Permanganato de Potássio,114,8
Itraconazol 100 Mg Comprimido (A),Itraconazol,119,5
"Sol. de ringer + lactato, bolsa 500 ml",Ringer Lactato,119,5
Synvisc One Seringa 8mg/ml 6ml,Hialuronato de Sódio,119,8
OXIDO DE ZINCO 200 MG + NISTATINA 100.000 UI/G (POMADA 60G),"Óxido de Zinco, Nistatina",134,12
OLEO MINERAL SOL ORAL,Óleo Mineral,113,3
"OLANZapina 2,5mg Comprimido",Olanzapina,118,4
FUROSEMIDA 40MG,Furosemida,112,4
Hepamax-S 25.000 UI/5mL Sol inj (Alta Vigilância),Hepatite B Imunoglobulina Humana,126,12
"ATROPINA 0,25mg/mL 1mL AMP",Atropina,119,3
CLORETO DE SODIO 20% AMP 10 ML,Cloreto de Sódio,120,7
Tacrolimo 1mg Cápsula,Tacrolimo,115,3
"Carmelose sódica 0,5% Sol oftálmica 10mL",Carmelose sódica,125,7
FORMOTEROL FUMARATO DIIDRATADO 6MCG+BUDESONIDA 200MCG/DOSE PO INALANTE 60 DOSES,"Formoterol Fumarato Diidratado, Budesonida",142,15
"FLUDROCORTISONA 0,1MG COMPRIMIDO NP (FLORINEFE)",Fludrocortisona,127,6
"BACLOFENO 2,5MG - CP",Baclofeno,117,5
Anastrozol 1 mg comp. rev.,Anastrozol,116,4
"ALPRAZOLAM 0,25 mg",Alprazolam,116,5
BLEOmicina(SULFATO) 15UI PO P/ SOL INJ - FRASCO AMPOLA,Bleomicina,129,4
"FentaNILA 500mcg INJ (0,05 mg/mL) 10mL**",Fentanil,127,4
"MPP:  BOSENTANA 62,5MG",Bosentana,117,4
Revitam Júnior Solução Oral Frasco 120ml,Multivitaminas,119,4
Vitamina A 50.000ui/ml + Vitamina D 10.000ui/ml ( Livre de Parabenos E Óleos Vegetais)50ml,"Vitamina A, Vitamina D",141,8
"Hidrocin (0,75+0,5+5)mg/mL Sol nasal 20mL (Não Padrão)","Hidroclorotiazida, Cloridrato de Amilorida, Maleato de Enalapril",134,26
LEFLUNOMIDA 20 MG CMP,Leflunomida,114,6
Alogliptina 25mg + PIOglitazona 30mg,"Alogliptina, Pioglitazona",122,11
Hirudoid gel tubo c/ 40g,Heparinoide,116,4
Carboximaltose férrica 500mg/10mL Sol inj,Carboximaltose férrica,122,8
"DOBUTAMINA, 250MG/20ML  AMP 20ML (ALTA VIGILANCIA)",Dobutamina,131,4
CLORIDRATO DE METFORMINA 1000 mg + GLIMEPIRIDA 4 mg,"Metformina, Glimepirida",127,8
Adenosina 3mg/Ml Inj. Ampola C/ 2ml (AV),Adenosina,126,3
"ATROVENT 0,25MG/ML - GTS",Ipratrópio,118,5
Prometazina 25mg Cp,Prometazina,113,4
Sacubitril Valsartana Sódica Hidratada 50mg Comprimido Revestido,Sacubitril Valsartana,129,8
Sulfato De Morfina 10mg Cp.,Morfina,117,3
Dolutegravir 50mg,Dolutegravir,113,5
Nevirapina 10 mg/mL sol. oral frasco c/ 100 mL,Nevirapina,123,5
CICLOSPORINA 25MG CAPS (CEAF),Ciclosporina,120,6
GABAPENTINA 300 MG - CAP,Gabapentina,115,3
"BUPIVACAINA CLORIDRATO 0,5% SEM VASOCONSTRITOR - 2",Bupivacaína,131,6
METADONA 10 MG,Metadona,111,3
MANIVASC 10MG - CP,Enalapril,113,4
LoSEC Mups 20mg Cp rev,Omeprazol,114,5
CicloFOSFAMida 1g FA - Genuxal,Ciclofosfamida,121,7
"ATROPINA SULFATO 0,5MG/1ML",Atropina,120,3
"SORO FISIOLOGICO 0,9% 1000ML",Cloreto de Sódio,122,7
FENTANEST 50mcg/ml FA 10 ml,Fentanil,118,4
FENITOINA INJETAVEL 5 ML 50 MG/ML AMP,Fenitoína,123,5
Paroxetina 25mg Comprimido Revestido,Paroxetina,118,4
FENOBARBITAL 40MG/ML 20ML SOL OR GTS,Fenobarbital,123,5
"Deslanosídeo 0,4mg/2mL amp",Deslanosídeo,120,5
INSULINA REGULAR HUMANA 100 UI/ML FRA,Insulina Regular Humana,120,6
NIMESULIDA 50MG/ML SOLUCAO ORAL DOSE 34 GOTAS,Nimesulida,127,4
HIDROSMINA 200 mg,Hidrosmina,112,4
"FIBRAS VEGETAIS PURIF (PLANTAGO OVATA) PSYLLIUM 3,5 G ENV",Psyllium,133,3
ACIDO TRANEXAMICO,Ácido Tranexâmico,111,6
FENITOINA COMPRIMIDO 100MG @,Fenitoína,117,5
LECANEmabe 500MG INJ (100MG/ML) 5ML,Lecanemabe,124,5
Dimenidrinato 50mg/mL + piridoxina 50mg/mL - 1mL,"Dimenidrinato, Piridoxina",128,10
"CLORETO DE SODIO 0,9% 10ML",Cloreto de Sodio,121,7
PEMETREXEDE - NP,Pemetrexede,112,4
COLCHICINA 0.5MG CPR,Colchicina,115,3
"CALCITRIOL 0,25 MCG",Calcitriol,115,4
"Mabthera 1400mg / 11,7ml SC",Rituximabe,120,5
SERETIDE,Salmeterol e Fluticasona,108,10
"Lumigan 0,03% Sol oftálmica 5mL (Não Padrão)",Bimatoprosta,127,4
IMUNOGLOBULINA ANTI RHO 300 MCG SER,Imunoglobulina Anti-Rho (D),120,11
Hidrocortisona 20mg Cápsula - Manipulado,Hidrocortisona,121,6
Furosemida 20mg/2mL Sol inj,Furosemida,118,4
PROTAMINA 1.000 UI/ML  SOLUCAO INJETAVEL AMPOLA 5 ML,Protamina,130,2
ALIVIUM 100MG/ML 20ML (200GOTAS) FR (SE NECESSARIO),Ibuprofeno,130,5
Mesacol 500mg supositório,Mesalazina,114,4
"Dermacerium 0,4/1,0% Creme 50g (Não Padrão)",Sulfadiazina de Prata + Nitrato de Cério,128,16
HIPO - HALOPERIDOL 1 MG,Haloperidol,115,4
"BUDESONIDA 0,5MG/2ML SUSP NEBULIZACAO FR 2ML",Budesonida,129,4
PERMETRINA 10MG/ML ( 1%) - 60ML – SHAMPOO - FRASCO,Permetrina,131,3
GLICOPIRRONIO BROMETO CAPSULA GELATINOSA DURA COM PO PARA INALACAO 50MCG/DOSE 10 CAPSULAS COM INALADOR,Brometo de Glicopirrônio,149,11
DEXAMETASONA SOL INJ 2MG/ML AMP EV BOLUS,Dexametasona,124,5
FUROSEMIDA COMP 40MG,Furosemida,113,4
MIRTAZAPINA 30MG COMP,Mirtazapina,115,5
Deflazacort 30mg Cp.,Deflazacort,115,5
ENTACAPONA COMPRIMIDO REVESTIDO 200MG ,Entacapona,120,4
Urbanil (clobazam) 10mg Comprimido,Clobazam,119,4
PRADAXA 150MG 60 CAP,Dabigatrana,115,5
Lidocaína 50mg/g Pomada Bisnaga 25g Oralbase - Ems,Lidocaína,126,5
FOSF. SODICO DE prednisoLONA 3MG/ML SOL. ORAL FR 60ML,Prednisolona,131,4
Dose D 200 UI/gota Sol oral 20mL (Não Padrão),Colecalciferol,125,4
Anestésico Colírio Fr 10ml,Tetracaína,116,5
MPP:  PRISTIQ 100 MG,Desvenlafaxina,115,6
Bacitracina+Neomicina 15g bisnaga,"Bacitracina, Neomicina",119,9
Carvão ativado 10gr,Carvão ativado,113,5
"XGEVA 120MG AMP 1,7ML SC",Denosumabe,118,4
TOPIRAMATO 25MG 60 CP REV NOVAQ GEN C1,Topiramato,122,3
POLIETILENOGLICOL 4000 S/ ELETROLITOS 10 GRAMAS,Polietilenoglicol 4000,128,9
SEVELAMER 800MG CPR,Sevelamer,113,3
Paracetamol 10mg/ml inj. bls 100ml,Paracetamol,120,4
Claritin 10mg Comprimido,Loratadina,113,5
OSELTAMIVIR 75MG COM,Oseltamivir,115,5
RIVAROXABANA 15mg COMP - ALTA VIGILANCIA,Rivaroxabana,123,5
CLORETO DE POTASSIO 600 MG DRAGEA,Cloreto de Potássio,119,8
CLEXANE 80MG SC (MEDICAMENTO DE RISCO),Enoxaparina,121,5
"FENTANIL (CITRATO) 0,05MG/ML C/10ML INJ",Fentanil,128,4
BUTILBROMETO DE ESCO.+DIPIRONA 10MG/ML SOL. ORAL FR 20ML,"Butilbrometo de Escopolamina, Dipirona",131,13
SULFAMETOXAZOL 400MG + TRIMETOPRIMA 80MG - COMPRIMIDO,Sulfametoxazol + Trimetoprima,131,13
"TERLIPRESSINA 0,1MG/ML AMPOLA 8,5ML",Terlipressina,124,4
DECADRON - COLIRIO,Dexametasona,112,5
BACILLUS CLAUSII FLACONETE 5ML,Bacillus clausii,120,6
Uni Haloper 5 Mg/ml Amp/1ml,Haloperidol,116,4
CLORIDRATO DE VERAPAMIL 80 mg,Verapamil,117,3
MANITOL SOLUCAO 20% 250ML BL SANOBIOL,Manitol,123,2
CicloFOSFAMida 1000mg Inj.,Ciclofosfamida,119,7
CETAMINA 50MG/ML AMPOLA 2 ML (MPP),Cetamina,122,3
"Naloxona 0,4 mg/1 ml, amp 0,4mg/ml",Naloxona,125,4
ETOMIDATO 20MG/10ML SOL INJ,Etomidato,118,3
Quetiapina 50 mg comp (NÃO PADRONIZADO),Quetiapina,121,4
Rosuvastatina cálcica 20mg cp (NÃO PADRONIZADA),Rosuvastatina cálcica,125,8
DAPAGLIFLOZINA 10 MG,Dapagliflozina,116,8
CLORIDRATO DE TRAMADOL 50MG/ML - 2ML - SOLUÇÃO INJETÁVEL - VIA INTRAMUSCULAR OU ENDOVENOSA - AMPOLA,Tramadol,150,3
"METOPROLOL, TARTARATO 1 MG/ML SOLUCAO INJETAVEL AMPOLA 5 ML",Metoprolol,134,4
AmioDARONA 150MG/3ML AMP,Amiodarona,117,4
Sotalol 120mg Comprimido,Sotalol,114,3
MECLIN 25MG COMP (NP),Cloridrato de Meclizina,115,10
Ruxolitinibe 10 mg cp ,Ruxolitinibe,115,5
PARACETAMOL GOTAS 200MG / ML,Paracetamol,117,4
Cetamina 50mg/ml 10ml Fr/amp,Cetamina,118,3
"HIDROXIETILAMIDO 130/0,4 - EV",Hidroxietilamido,120,7
AGUA DESTILADA 10ML AMPOLA,Água destilada,115,5
MC: FORXIGA 10MG ,Dapagliflozina,115,8
HIDROXIETILAMIDO 6% (60 MG/ML) FR 500 ML (VOLUVEN),Hidroxietilamido,131,7
NISTATINA+OXIDO DE ZINCO POMADA,"Nistatina, Óxido de Zinco",119,13
"MORFINA 0,2 MG/1ML EV (MEDICAMENTO DE RISCO)",Morfina,126,3
MEROPENEM 500MG - FR - AMP,Meropenem,115,3
DICLORIDRATO DE BETAISTINA 8 mg,Betaistina,119,3
"Butilbrometo de escopolamina 10mg, drágea (ORAL)",Butilbrometo de escopolamina,126,9
OCTREOTIDA 30 MG -  AMP,Octreotida,115,4
Toperma 5% Adesivo Transdermico Lidocaina 5%,Lidocaina,124,4
MetoTREXATO 100 mg/mL,Metotrexato,115,4
SURFACTANTE ALFAPORACTANTO 80MG/ML SOL. INJETAVEL FA 3ML,Alfaporactanto,131,5
EFFIENT 10MG 30 CP REV,Prasugrel,114,4
EFEDrina SULFATO SOLUCAO INJETAVEL 50MG/ML 1ML  @,Efedrina,131,3
Ampicilina 1000 mg po liofilo injetavel frasco/ampola ( Santa Casa ),Ampicilina,130,5
ALBUMINA HUMANA 20% MANIPULADA (PERIFERICA),Albumina Humana,123,4
Alivium 100mg/ml (10gts/ml) 20ml,Ibuprofeno,121,5
FENITOINA 50MG/ML (HIDANTAL),Fenitoína,120,5
BIOCURON 4mg/2ml  amp 2 ml (Pancurônio),Pancurônio,126,5
Valsartana 80mg cp,Valsartana,113,3
