medicamento,substancia_correta,llm_response,acertou
"Akynzeo (300mg + 0,56mg) Cáp.",NETUPITANTO + PALONOSETRONA,Netupitanto + Palonosetrona,1
 ACIDO ASCORBICO 1G EFERVESCENTE (VITAMINA C),ACIDO ASCORBICO (VITAMINA C),Ácido Ascórbico,1
Optiray 350 Sol inj 100mL (seringa),IOVERSOL,Ioversol,1
ACIDO ACETIL SALICILICO 100MG,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico,1
Sulfato de Hidroxicloroquina 400 mg comp,HIDROXICLOROQUINA,Hidroxicloroquina,1
"ENTECAVIR 0,5MG COMP",ENTECAVIR,Entecavir,1
"Fentanila 0,5 mg/10ml, fr-amp 0.1mg/ml",FENTANILA,Fentanila,1
RACECADOTRIL 100MG CAPS,RACECADOTRILA,Racecadotril,1
Zytiga 250mg Cp,ABIRATERONA,Abiraterona,1
AZITromicina 500mg - EV,AZITROMICINA,Azitromicina,1
"Deslanosideo 0,2mg/mL - 2mL",DESLANOSIDEO,Deslanosídeo,1
BUDESONIDA 100MCG/DOSE,BUDESONIDA,Budesonida,1
COMPLEXO VITAMINICO B DRG,VITAMINAS DO COMPLEXO B,Vitaminas do Complexo B,1
RIFAMICINA SODICA 10MG/ML 20ML USO TOPICO (RIFOCIN,RIFAMICINA (TOPICO),Rifamicina Sódica,1
PANTOPRAZOL 40mg COMP ,PANTOPRAZOL,Pantoprazol,1
LEVOFLOXACINO 500 MG FR 100 ML,LEVOFLOXACINO,Levofloxacino,1
"Solução Diálise Peritoneal (Glic1,5% + Ca3,5mEq/L) (Cód1683) 2000mL ",SOLUCAO PARA HEMODIALISE,Glicose e Cálcio,1
"OCTREOTIDE 0,1MG/ML AMPOLA 1ML",OCTREOTIDA,Octreotida,1
ACIDO ACETILSALICILICO 100 MG,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico,1
Aciclovir 250mg inj,ACICLOVIR,Aciclovir,1
DICLORIDRATO DE BETAISTINA 16 mg,BETAISTINA,Betaistina,1
Noripurum Ev 100mg (20mg/ml) Ampola 5ml,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO),Ferro Dextrano,0
Ondansetrona 2mg/ml amp 2 mL,ONDANSETRONA,Ondansetrona,1
LAMOTRIGINA 25MG - COMPRIMIDO,LAMOTRIGINA,Lamotrigina,1
PERMANGANATO DE POTASSIO,PERMANGANATO DE POTASSIO (TOPICO),Permanganato de Potássio,1
Itraconazol 100 Mg Comprimido (A),ITRACONAZOL,Itraconazol,1
"Sol. de ringer + lactato, bolsa 500 ml",(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO,Ringer Lactato,1
