medicamento,substancia_correta,llm_response
"Akynzeo (300mg + 0,56mg) Cáp.",NETUPITANTO + PALONOSETRONA,Netupitanto + Palonosetrona
 ACIDO ASCORBICO 1G EFERVESCENTE (VITAMINA C),ACIDO ASCORBICO (VITAMINA C),Ácido Ascórbico
Optiray 350 Sol inj 100mL (seringa),IOVERSOL,Ioversol
ACIDO ACETIL SALICILICO 100MG,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico
Sulfato de Hidroxicloroquina 400 mg comp,HIDROXICLOROQUINA,Hidroxicloroquina
"ENTECAVIR 0,5MG COMP",ENTECAVIR,Entecavir
"Fentanila 0,5 mg/10ml, fr-amp 0.1mg/ml",FENTANILA,Fentanila
RACECADOTRIL 100MG CAPS,RACECADOTRILA,Racecadotril
Zytiga 250mg Cp,ABIRATERONA,Abiraterona
AZITromicina 500mg - EV,AZITROMICINA,Azitromicina
"Deslanosideo 0,2mg/mL - 2mL",DESLANOSIDEO,Deslanosídeo
BUDESONIDA 100MCG/DOSE,BUDESONIDA,Budesonida
COMPLEXO VITAMINICO B DRG,VITAMINAS DO COMPLEXO B,Vitaminas do Complexo B
RIFAMICINA SODICA 10MG/ML 20ML USO TOPICO (RIFOCIN,RIFAMICINA (TOPICO),Rifamicina Sódica
PANTOPRAZOL 40mg COMP ,PANTOPRAZOL,Pantoprazol
LEVOFLOXACINO 500 MG FR 100 ML,LEVOFLOXACINO,Levofloxacino
"Solução Diálise Peritoneal (Glic1,5% + Ca3,5mEq/L) (Cód1683) 2000mL ",SOLUCAO PARA HEMODIALISE,Glicose e Cálcio
"OCTREOTIDE 0,1MG/ML AMPOLA 1ML",OCTREOTIDA,Octreotida
ACIDO ACETILSALICILICO 100 MG,ACIDO ACETILSALICILICO <200MG,Ácido Acetilsalicílico
Aciclovir 250mg inj,ACICLOVIR,Aciclovir
DICLORIDRATO DE BETAISTINA 16 mg,BETAISTINA,Betaistina
Noripurum Ev 100mg (20mg/ml) Ampola 5ml,FERRIPOLIMALTOSE (FERRO HIDROXIDO SACARATO),Ferro Dextrano
Ondansetrona 2mg/ml amp 2 mL,ONDANSETRONA,Ondansetrona
LAMOTRIGINA 25MG - COMPRIMIDO,LAMOTRIGINA,Lamotrigina
PERMANGANATO DE POTASSIO,PERMANGANATO DE POTASSIO (TOPICO),Permanganato de Potássio
Itraconazol 100 Mg Comprimido (A),ITRACONAZOL,Itraconazol
"Sol. de ringer + lactato, bolsa 500 ml",(RINGER LACTATO) CLORETO DE SODIO+CLORETO DE POTASSIO+CLORETO DE CALCIO+LACTATO DE SODIO,Ringer Lactato
Synvisc One Seringa 8mg/ml 6ml,HILANO + CLORETO DE SODIO + FOSFATO DISSODICO HIDROGENADO	+ DIHIDROGENOFOSFATO DE SODIO HIDRATADO,Hialuronato de Sódio
OXIDO DE ZINCO 200 MG + NISTATINA 100.000 UI/G (POMADA 60G),NISTATINA + OXIDO DE ZINCO (TOPICO),"Óxido de Zinco, Nistatina"
OLEO MINERAL SOL ORAL,OLEO MINERAL,Óleo Mineral
"OLANZapina 2,5mg Comprimido",OLANZapina,Olanzapina
FUROSEMIDA 40MG,FUROSEMIDA,Furosemida
Hepamax-S 25.000 UI/5mL Sol inj (Alta Vigilância),Heparina,Hepatite B Imunoglobulina Humana
"ATROPINA 0,25mg/mL 1mL AMP",ATROPINA,Atropina
CLORETO DE SODIO 20% AMP 10 ML,CLORETO DE SODIO,Cloreto de Sódio
Tacrolimo 1mg Cápsula,TACROLIMO,Tacrolimo
"Carmelose sódica 0,5% Sol oftálmica 10mL",CARMELOSE SODICA(CARBOXIMETILCELULOSE SODICA) (OFTÁLMICO),Carmelose sódica
FORMOTEROL FUMARATO DIIDRATADO 6MCG+BUDESONIDA 200MCG/DOSE PO INALANTE 60 DOSES,FORMOTEROL + BUDESONIDA,"Formoterol Fumarato Diidratado, Budesonida"
"FLUDROCORTISONA 0,1MG COMPRIMIDO NP (FLORINEFE)",FLUDROCORTISONA,Fludrocortisona
"BACLOFENO 2,5MG - CP",BACLOFENO,Baclofeno
Anastrozol 1 mg comp. rev.,ANASTROZOL,Anastrozol
"ALPRAZOLAM 0,25 mg",ALPRAZOLAM,Alprazolam
BLEOmicina(SULFATO) 15UI PO P/ SOL INJ - FRASCO AMPOLA,BLEOMICINA,Bleomicina
"FentaNILA 500mcg INJ (0,05 mg/mL) 10mL**",FENTANILA,Fentanil
"MPP:  BOSENTANA 62,5MG",BOSENTANA,Bosentana
Revitam Júnior Solução Oral Frasco 120ml,POLIVITAMINICO,Multivitaminas
Vitamina A 50.000ui/ml + Vitamina D 10.000ui/ml ( Livre de Parabenos E Óleos Vegetais)50ml,CLORANFENICOL + RETINOL (VITAMINA A) (TOPICO),"Vitamina A, Vitamina D"
"Hidrocin (0,75+0,5+5)mg/mL Sol nasal 20mL (Não Padrão)",CLORIDRATO DE NAFAZOLINA + FOSFATO DISSODICO DE DEXAMETASONA + SULFATO DE NEOMICINA,"Hidroclorotiazida, Cloridrato de Amilorida, Maleato de Enalapril"
LEFLUNOMIDA 20 MG CMP,LEFLUNOMIDA,Leflunomida
Alogliptina 25mg + PIOglitazona 30mg,ALOGLIPTINA + PIOGLITAZONA,"Alogliptina, Pioglitazona"
Hirudoid gel tubo c/ 40g,POLISSULFATO DE MUCOPOLISSACARIDEO  (TÓPICO),Heparinoide
Carboximaltose férrica 500mg/10mL Sol inj,CARBOXIMALTOSE FERRICA,Carboximaltose férrica
"DOBUTAMINA, 250MG/20ML  AMP 20ML (ALTA VIGILANCIA)",Dobutamina,Dobutamina
CLORIDRATO DE METFORMINA 1000 mg + GLIMEPIRIDA 4 mg,GLIMEPIRIDA + METFORMINA,"Metformina, Glimepirida"
Adenosina 3mg/Ml Inj. Ampola C/ 2ml (AV),ADENOSINA,Adenosina
"ATROVENT 0,25MG/ML - GTS",IPRATROPIO,Ipratrópio
Prometazina 25mg Cp,PROMETAZINA,Prometazina
Sacubitril Valsartana Sódica Hidratada 50mg Comprimido Revestido,SACUBITRIL + VALSARTANA,Sacubitril Valsartana
Sulfato De Morfina 10mg Cp.,SULFATO DE MORFINA,Morfina
Dolutegravir 50mg,DOLUTEGRAVIR,Dolutegravir
Nevirapina 10 mg/mL sol. oral frasco c/ 100 mL,NEVIRAPINA,Nevirapina
CICLOSPORINA 25MG CAPS (CEAF),CiclosPORINA,Ciclosporina
GABAPENTINA 300 MG - CAP,GABAPENTINA,Gabapentina
"BUPIVACAINA CLORIDRATO 0,5% SEM VASOCONSTRITOR - 2",BUPIVACAINA,Bupivacaína
METADONA 10 MG,Metadona,Metadona
MANIVASC 10MG - CP,MANIDIPINO,Enalapril
LoSEC Mups 20mg Cp rev,OMEPRAZOL,Omeprazol
CicloFOSFAMida 1g FA - Genuxal,ciclofosfamida,Ciclofosfamida
"ATROPINA SULFATO 0,5MG/1ML",ATROPINA,Atropina
"SORO FISIOLOGICO 0,9% 1000ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sódio
FENTANEST 50mcg/ml FA 10 ml,FENTANILA,Fentanil
FENITOINA INJETAVEL 5 ML 50 MG/ML AMP,FENITOINA,Fenitoína
Paroxetina 25mg Comprimido Revestido,PAROXETINA,Paroxetina
FENOBARBITAL 40MG/ML 20ML SOL OR GTS,FENOBARBITAL,Fenobarbital
"Deslanosídeo 0,4mg/2mL amp",DESLANOSIDEO,Deslanosídeo
INSULINA REGULAR HUMANA 100 UI/ML FRA,INSULINA REGULAR,Insulina Regular Humana
NIMESULIDA 50MG/ML SOLUCAO ORAL DOSE 34 GOTAS,Nimesulida,Nimesulida
HIDROSMINA 200 mg,HIDROSMINA,Hidrosmina
"FIBRAS VEGETAIS PURIF (PLANTAGO OVATA) PSYLLIUM 3,5 G ENV",PLANTAGO OVATA ((PSYLLIUM HUSK),Psyllium
ACIDO TRANEXAMICO,ACIDO TRANEXAMICO,Ácido Tranexâmico
FENITOINA COMPRIMIDO 100MG @,FENITOINA,Fenitoína
LECANEmabe 500MG INJ (100MG/ML) 5ML,LECANEMABE,Lecanemabe
Dimenidrinato 50mg/mL + piridoxina 50mg/mL - 1mL,DIMENIDRINATO + PIRIDOXINA(B6),"Dimenidrinato, Piridoxina"
"CLORETO DE SODIO 0,9% 10ML","CLORETO DE SODIO 0,9% (SORO FISIOLOGICO)",Cloreto de Sodio
PEMETREXEDE - NP,PEMETREXEDE,Pemetrexede
COLCHICINA 0.5MG CPR,Colchicina,Colchicina
"CALCITRIOL 0,25 MCG",CalciTRIOL,Calcitriol
"Mabthera 1400mg / 11,7ml SC",RiTUXimabe,Rituximabe
SERETIDE,SALMETEROL + FLUTICASONA,Salmeterol e Fluticasona
"Lumigan 0,03% Sol oftálmica 5mL (Não Padrão)",BIMATOPROSTA (OFTALMICO),Bimatoprosta
IMUNOGLOBULINA ANTI RHO 300 MCG SER,IMUNOGLOBULINA ANTI-RH,Imunoglobulina Anti-Rho (D)
Hidrocortisona 20mg Cápsula - Manipulado,HIDROCORTISONA SUCCINATO SODICO,Hidrocortisona
Furosemida 20mg/2mL Sol inj,FUROSEMIDA,Furosemida
PROTAMINA 1.000 UI/ML  SOLUCAO INJETAVEL AMPOLA 5 ML,PROTAMINA,Protamina
ALIVIUM 100MG/ML 20ML (200GOTAS) FR (SE NECESSARIO),IBUPROFENO,Ibuprofeno
Mesacol 500mg supositório,MESALAZINA,Mesalazina
"Dermacerium 0,4/1,0% Creme 50g (Não Padrão)",SULFADIAZINA DE PRATA + NITRATO DE CERIO (TOPICO),Sulfadiazina de Prata + Nitrato de Cério
HIPO - HALOPERIDOL 1 MG,HaloPERidol,Haloperidol
"BUDESONIDA 0,5MG/2ML SUSP NEBULIZACAO FR 2ML",BUDESONIDA,Budesonida
PERMETRINA 10MG/ML ( 1%) - 60ML – SHAMPOO - FRASCO,PERMETRINA (TOPICO),Permetrina
GLICOPIRRONIO BROMETO CAPSULA GELATINOSA DURA COM PO PARA INALACAO 50MCG/DOSE 10 CAPSULAS COM INALADOR,GLICOPIRRONIO,Brometo de Glicopirrônio
DEXAMETASONA SOL INJ 2MG/ML AMP EV BOLUS,DEXAMETASONA,Dexametasona
FUROSEMIDA COMP 40MG,FUROSEMIDA,Furosemida
MIRTAZAPINA 30MG COMP,MIRTAZAPINA,Mirtazapina
Deflazacort 30mg Cp.,DEFLAZACORTE,Deflazacort
ENTACAPONA COMPRIMIDO REVESTIDO 200MG ,Entacapona,Entacapona
Urbanil (clobazam) 10mg Comprimido,CLOBAZAM,Clobazam
PRADAXA 150MG 60 CAP,Dabigatrana,Dabigatrana
Lidocaína 50mg/g Pomada Bisnaga 25g Oralbase - Ems,LIDOCAINA (TOPICO),Lidocaína
FOSF. SODICO DE prednisoLONA 3MG/ML SOL. ORAL FR 60ML,PrednisoLONA,Prednisolona
Dose D 200 UI/gota Sol oral 20mL (Não Padrão),COLECALCIFEROL (VITAMINA D),Colecalciferol
Anestésico Colírio Fr 10ml,TETRACAINA + FENILEFRINA (OFTALMICO),Tetracaína
MPP:  PRISTIQ 100 MG,DESVENLAFAXINA,Desvenlafaxina
Bacitracina+Neomicina 15g bisnaga,NEOMICINA + BACITRACINA (TOPICO),"Bacitracina, Neomicina"
Carvão ativado 10gr,CARVAO ATIVADO,Carvão ativado
"XGEVA 120MG AMP 1,7ML SC",DENOSUMABE,Denosumabe
TOPIRAMATO 25MG 60 CP REV NOVAQ GEN C1,TOPIRAMATO,Topiramato
POLIETILENOGLICOL 4000 S/ ELETROLITOS 10 GRAMAS,POLIETILENOGLICOL (MACROGOL),Polietilenoglicol 4000
SEVELAMER 800MG CPR,SEVELAMER,Sevelamer
Paracetamol 10mg/ml inj. bls 100ml,PARACETAMOL  (ACETAMINOFEM),Paracetamol
Claritin 10mg Comprimido,LORATADINA,Loratadina
OSELTAMIVIR 75MG COM,OSELTAMIVIR,Oseltamivir
RIVAROXABANA 15mg COMP - ALTA VIGILANCIA,RIVAROXABANA,Rivaroxabana
CLORETO DE POTASSIO 600 MG DRAGEA,CLORETO DE POTASSIO,Cloreto de Potássio
CLEXANE 80MG SC (MEDICAMENTO DE RISCO),ENOXAPARINA SODICA,Enoxaparina
"FENTANIL (CITRATO) 0,05MG/ML C/10ML INJ",FENTANILA,Fentanil
BUTILBROMETO DE ESCO.+DIPIRONA 10MG/ML SOL. ORAL FR 20ML,ESCOPOLAMINA + DIPIRONA,"Butilbrometo de Escopolamina, Dipirona"
SULFAMETOXAZOL 400MG + TRIMETOPRIMA 80MG - COMPRIMIDO,SULFAMETOXAZOL+TRIMETOPRIMA,Sulfametoxazol + Trimetoprima
"TERLIPRESSINA 0,1MG/ML AMPOLA 8,5ML",TERLIPRESSINA,Terlipressina
DECADRON - COLIRIO,DEXAmetasona (OFTALMICo),Dexametasona
BACILLUS CLAUSII FLACONETE 5ML,BACILLUS CLAUSII,Bacillus clausii
Uni Haloper 5 Mg/ml Amp/1ml,HaloPERidol,Haloperidol
CLORIDRATO DE VERAPAMIL 80 mg,VERAPAMIL,Verapamil
